Date	Open	High	Low	Close 	Adj Close 	Volume
14 Nov 2025	949.00	949.30	945.50	945.70	945.70	1,023,410
12 Nov 2025	966.40	967.90	962.59	965.80	965.80	1,617,717
11 Nov 2025	962.70	966.10	960.40	964.60	964.60	2,330,387
10 Nov 2025	951.20	955.60	947.90	953.90	953.90	2,271,134
7 Nov 2025	948.10	948.20	939.60	943.80	943.80	2,060,613
6 Nov 2025	953.60	954.40	947.90	948.40	948.40	3,819,905
5 Nov 2025	944.20	954.10	942.90	952.70	952.70	3,566,718
4 Nov 2025	941.70	946.70	933.00	946.70	946.70	3,592,403
3 Nov 2025	948.40	949.70	944.90	945.50	945.50	3,150,325
31 Oct 2025	949.80	950.80	945.20	947.30	947.30	4,176,172
30 Oct 2025	949.50	951.70	944.50	951.20	951.20	4,107,612
29 Oct 2025	947.90	954.10	947.30	951.30	951.30	1,995,558
28 Oct 2025	942.70	948.30	940.64	946.20	946.20	3,923,572
27 Oct 2025	940.00	943.20	939.10	940.90	940.90	4,123,077
23 Oct 2025	930.00	936.20	928.40	934.70	934.70	4,094,687
22 Oct 2025	924.00	930.90	923.00	927.70	927.70	4,424,801
21 Oct 2025	919.90	920.90	917.09	919.10	919.10	5,801,241
20 Oct 2025	913.50	918.60	912.78	917.40	917.40	7,267,954
17 Oct 2025	906.30	913.80	902.70	910.70	910.70	3,725,857
16 Oct 2025	917.40	918.70	913.80	918.70	918.70	2,448,587
15 Oct 2025	922.50	922.90	911.00	916.60	916.60	3,241,779
14 Oct 2025	915.80	920.00	913.30	919.60	919.60	2,538,104
13 Oct 2025	918.80	1,009.20	911.00	918.80	918.80	2,815,928
10 Oct 2025	924.50	926.40	916.00	917.60	917.60	2,093,239
9 Oct 2025	926.20	927.80	924.40	924.80	924.80	3,230,204
8 Oct 2025	924.70	936.80	923.90	928.90	928.90	2,720,862
7 Oct 2025	923.10	925.00	921.70	922.50	922.50	2,847,831
6 Oct 2025	922.60	1,015.00	920.40	921.90	921.90	1,818,247
3 Oct 2025	918.90	923.50	918.90	922.40	922.40	2,428,716
2 Oct 2025	921.20	921.70	916.10	916.90	916.90	3,586,653
1 Oct 2025	910.10	920.00	909.30	918.20	918.20	2,250,681
30 Sept 2025	903.00	910.04	900.50	908.40	908.40	4,375,586
29 Sept 2025	905.00	909.00	903.33	903.80	903.80	3,872,043
26 Sept 2025	896.10	902.90	894.90	901.70	901.70	4,028,394
25 Sept 2025	896.30	898.30	893.96	895.30	895.30	3,760,626
24 Sept 2025	895.80	900.30	891.20	898.20	898.20	3,118,203
23 Sept 2025	897.80	900.20	896.00	896.00	896.00	3,294,861
22 Sept 2025	896.70	897.20	893.70	895.90	895.90	12,108,223
19 Sept 2025	898.80	899.30	894.60	896.00	896.00	3,043,238
18 Sept 2025	896.40	899.00	895.60	897.80	897.80	3,320,664
17 Sept 2025	896.40	899.30	894.80	895.60	895.60	1,796,321
16 Sept 2025	902.60	902.80	894.10	894.10	894.10	4,545,923
15 Sept 2025	904.20	904.80	901.10	902.60	902.60	1,668,698
12 Sept 2025	905.60	908.50	902.90	903.00	903.00	2,977,478
11 Sept 2025	7.3700004 Dividend
11 Sept 2025	900.10	904.74	899.80	904.50	904.50	2,170,011
10 Sept 2025	907.80	910.90	903.80	904.30	904.23	2,708,646
9 Sept 2025	906.30	907.60	904.80	906.00	905.93	3,285,116
8 Sept 2025	905.80	906.10	901.50	902.90	902.83	1,663,569
5 Sept 2025	906.50	908.10	902.30	903.60	903.53	2,294,022
4 Sept 2025	900.10	908.60	898.40	904.50	904.43	1,778,928
3 Sept 2025	895.70	900.80	893.60	900.70	900.63	2,062,401
2 Sept 2025	900.90	901.80	893.68	894.60	894.53	1,876,379
1 Sept 2025	902.90	905.30	897.50	902.00	901.93	1,607,034
29 Aug 2025	903.40	904.90	900.41	901.40	901.33	2,146,744
28 Aug 2025	908.80	909.10	903.00	904.40	904.33	2,543,076
27 Aug 2025	910.40	913.30	904.73	907.40	907.33	2,763,193
26 Aug 2025	909.40	910.60	905.20	908.20	908.13	3,300,528
22 Aug 2025	911.30	917.19	910.20	913.70	913.63	1,779,412
21 Aug 2025	911.00	915.80	907.40	913.00	912.93	1,776,296
20 Aug 2025	900.00	911.60	898.20	910.20	910.13	2,581,274
19 Aug 2025	898.30	901.40	897.11	901.00	900.93	1,949,614
18 Aug 2025	898.30	899.00	894.57	897.20	897.13	1,690,202
15 Aug 2025	903.60	904.90	894.95	895.90	895.83	2,114,497
14 Aug 2025	896.60	899.90	895.60	899.40	899.33	4,169,481
13 Aug 2025	896.10	897.40	893.40	895.60	895.53	2,465,238
12 Aug 2025	894.40	895.50	891.00	893.70	893.63	2,552,616
11 Aug 2025	890.40	892.80	889.50	891.40	891.33	2,168,326
8 Aug 2025	890.80	892.00	887.15	888.60	888.53	1,185,317
7 Aug 2025	893.40	894.30	885.00	889.10	889.03	2,644,609
6 Aug 2025	894.90	895.60	892.10	893.30	893.23	1,226,665
5 Aug 2025	894.90	895.90	890.00	891.20	891.13	1,736,415
4 Aug 2025	887.00	890.00	883.91	889.50	889.43	2,340,915
1 Aug 2025	886.60	887.60	880.30	884.30	884.23	5,268,446
31 Jul 2025	891.80	898.00	889.40	890.30	890.23	5,262,698
30 Jul 2025	888.40	891.20	886.10	890.20	890.13	3,548,327
29 Jul 2025	886.80	893.30	885.60	890.30	890.23	2,664,003
28 Jul 2025	894.10	894.40	882.91	885.30	885.23	1,646,276
25 Jul 2025	890.60	890.90	886.30	888.70	888.63	2,250,086
24 Jul 2025	887.90	892.70	886.70	890.40	890.33	3,808,792
23 Jul 2025	883.30	884.80	881.72	882.70	882.63	1,314,322
22 Jul 2025	878.00	880.20	876.40	879.00	878.93	2,103,862
21 Jul 2025	877.19	878.30	874.50	878.30	878.23	1,848,527
18 Jul 2025	877.40	878.60	874.10	876.20	876.13	2,586,114
17 Jul 2025	874.80	875.50	871.70	874.50	874.43	3,504,722
